Adolescent,Young Adult,Middle-Aged Adult,Elderly (Young-Old),Oldest-Old
,28.25,7.57,9.45,
,12.37,4.94,12.64,
,8.97,5.56,10.65,
,2.61,11.4,8.14,
,2.7,41.93,6.75,
,17.75,1.79,2.66,
,6.8,6.43,8.41,
,6.97,16.38,6.83,
,6.2,10.97,5.88,
,13.07,5.02,3.61,
,9.98,20.14,0.24,
,9.18,12.07,7.73,
,6.61,11.13,10.26,
,3.61,7.58,7.57,
,5.01,6.62,5.21,
,14.46,3.84,2.68,
,6.66,7.48,8.37,
,1.46,6.43,27.21,
,3.23,1.5,10.91,
,8.81,30.27,10.95,
,8.08,29.21,11.96,
,3.72,7.73,2.87,
,15.95,9.66,8.92,
,47.69,13.72,10.62,
,6.01,17.28,32.09,
,9.97,28.03,13.07,
,11.61,3.79,14.84,
,4.62,9.59,31.9,
,16.52,28.03,7.52,
,8.48,13.35,2.35,
,4.91,12.06,17.18,
,2.87,10.95,3.72,
,12.37,7.05,13.85,
,14.24,9.58,9.05,
,20.32,12.53,6.04,
,4.17,7.54,1.93,
,15.93,13.86,10.83,
,12.37,6.95,5.76,
,1.66,27.45,18.56,
,5.31,6.9,4.77,
,12.85,4.84,35.19,
,25.39,10.34,8.32,
,31.11,26.51,17.45,
,14.29,32.94,9.69,
,7.88,13.18,9.32,
,6.77,10.62,0.69,
,12.41,2.85,4.26,
,2.75,2.2,13.12,
,6,1.63,2.55,
,14.85,,14.32,
,9.33,,9.18,
,1.64,,20.14,
,18.42,,4.28,
,20.81,,14.67,
,5.89,,18.58,
,3.72,,12,
,11.78,,2.35,
,10.03,,27.21,
,3.9,,20.32,
,11.91,,7.42,
,25.25,,38.8,
,7.76,,5.69,
,19.79,,6.77,
,7.47,,0.69,
,4.62,,7.54,
,22.92,,14.06,
,9.13,,5.32,
,38.83,,16.25,
,7.03,,14.84,
,6.71,,16.32,
,9.72,,11.25,
,11.15,,23.64,
,6.08,,12.29,
,12.81,,3.55,
,6.65,,8.21,
,17.58,,7.92,
,2.17,,6.43,
,28.99,,6.58,
,5.61,,2.78,
,8.41,,11.48,
,12,,4.44,
,5.16,,5.1,
,4.6,,15.29,
,13.78,,4.84,
,8.82,,,
,4.2,,,
,8.78,,,
,6.78,,,
,22.49,,,
,5.41,,,
,13.62,,,
,0.08,,,
,10,,,
,20.55,,,
,8.15,,,
,10.39,,,
,4.25,,,
,34.28,,,
,5.6,,,
,22.02,,,
,5.1,,,
,11.17,,,
,8.64,,,
,32.09,,,
,3.39,,,
,2.81,,,
,1.89,,,
,9.51,,,
,5.61,,,
,6.66,,,
,4.35,,,
,11.15,,,
,5.11,,,
,5.58,,,
,9.59,,,
,9.16,,,
,20.14,,,
,31.11,,,
,6,,,
,5.34,,,
,18.59,,,
,3.64,,,
,1.38,,,
,7.6,,,
,6.83,,,
,10.01,,,
,29.5,,,
,16.09,,,
,14.06,,,
,7.82,,,
,5.15,,,
,11.78,,,
,4.94,,,
,24.87,,,
,11.72,,,
,3.06,,,
,6.18,,,
,17.61,,,
,11.58,,,
,31.85,,,
,3.61,,,
,9.82,,,
,6.12,,,
,2.72,,,
,6.62,,,
,8.32,,,
,3.05,,,
,3.19,,,
,5.41,,,
,4.92,,,
,11.65,,,
,8.86,,,
,13.39,,,
,7.48,,,
,6.66,,,
,16.28,,,
,7.34,,,
,3.36,,,
,7.91,,,
,6.72,,,
,7.25,,,
,7.76,,,
,7.9,,,
,6.12,,,
,18.88,,,
,7.18,,,
,7.91,,,
,7.51,,,
,11.03,,,
,12.81,,,
,3.53,,,
,24.72,,,
,25.39,,,
,5.83,,,
,4.38,,,
,17.45,,,
,4.57,,,
,11.07,,,
,11.13,,,
,5.52,,,
,4.35,,,
,8.82,,,
,10.47,,,
,16.14,,,
,4.84,,,
,8.93,,,
,4.04,,,
,10.97,,,
,6.8,,,
,9.29,,,
,5.1,,,
,9.28,,,
,10.39,,,
,26.22,,,
,12.06,,,
,13,,,
,2.93,,,
,15.7,,,
,5.93,,,
,1.79,,,
,23.91,,,
,7.33,,,
,2.37,,,
,6.02,,,
,8.25,,,
,12.61,,,
,5.56,,,
,5.5,,,
,27.15,,,
,7.15,,,
,35.19,,,
,29.5,,,
,4.92,,,
,5.18,,,
,1.22,,,
,13.12,,,
,12.32,,,
,29.03,,,
,11.65,,,
,15.95,,,
,1.46,,,
,12.32,,,
,8.77,,,
,7.03,,,
,5.5,,,
,10.66,,,
,10.01,,,
,16.32,,,
